table_schema	table_name	total_latency	rows_fetched	fetch_latency	rows_inserted	insert_latency	rows_updated	update_latency	rows_deleted	delete_latency	io_read_requests	io_read	io_read_latency	io_write_requests	io_write	io_write_latency	io_misc_requests	io_misc_latency
sys	sys_config	663.29 us	0	0 ps	5	663.29 us	0	0 ps	0	0 ps	30	8.06 KiB	30.80 us	32	182.86 KiB	183.69 us	52	5.17 ms
mysql	proc	0 ps	0	0 ps	0	0 ps	0	0 ps	0	0 ps	249	338.89 KiB	433.04 us	95	370.51 KiB	611.26 us	129	295.09 us
performance_schema	events_statements_current	0 ps	0	0 ps	0	0 ps	0	0 ps	0	0 ps	7	4.48 KiB	5.08 us	0	0 bytes	0 ps	6	27.12 us
performance_schema	events_stages_summary_global_by_event_name	0 ps	0	0 ps	0	0 ps	0	0 ps	0	0 ps	7	1.14 KiB	3.65 us	0	0 bytes	0 ps	6	16.06 us
performance_schema	events_stages_summary_by_host_by_event_name	0 ps	0	0 ps	0	0 ps	0	0 ps	0	0 ps	7	1.35 KiB	3.53 us	0	0 bytes	0 ps	6	9.50 us
performance_schema	events_stages_summary_by_user_by_event_name	0 ps	0	0 ps	0	0 ps	0	0 ps	0	0 ps	7	1.22 KiB	3.52 us	0	0 bytes	0 ps	6	8.87 us
performance_schema	events_stages_summary_by_account_by_event_name	0 ps	0	0 ps	0	0 ps	0	0 ps	0	0 ps	7	1.43 KiB	3.83 us	0	0 bytes	0 ps	6	22.43 us
performance_schema	events_stages_summary_by_thread_by_event_name	0 ps	0	0 ps	0	0 ps	0	0 ps	0	0 ps	7	1.19 KiB	3.54 us	0	0 bytes	0 ps	6	9.64 us
performance_schema	events_stages_history_long	0 ps	0	0 ps	0	0 ps	0	0 ps	0	0 ps	7	1.53 KiB	3.55 us	0	0 bytes	0 ps	6	10.75 us
performance_schema	events_stages_history	0 ps	0	0 ps	0	0 ps	0	0 ps	0	0 ps	7	1.53 KiB	3.59 us	0	0 bytes	0 ps	6	9.05 us
performance_schema	events_stages_current	0 ps	0	0 ps	0	0 ps	0	0 ps	0	0 ps	7	1.53 KiB	3.70 us	0	0 bytes	0 ps	6	8.86 us
performance_schema	threads	0 ps	0	0 ps	0	0 ps	0	0 ps	0	0 ps	7	2.40 KiB	3.77 us	0	0 bytes	0 ps	6	10.03 us
performance_schema	table_lock_waits_summary_by_table	0 ps	0	0 ps	0	0 ps	0	0 ps	0	0 ps	7	6.50 KiB	5.60 us	0	0 bytes	0 ps	6	48.91 us
performance_schema	table_io_waits_summary_by_table	0 ps	0	0 ps	0	0 ps	0	0 ps	0	0 ps	7	3.23 KiB	3.96 us	0	0 bytes	0 ps	6	9.77 us
performance_schema	table_io_waits_summary_by_index_usage	0 ps	0	0 ps	0	0 ps	0	0 ps	0	0 ps	7	3.51 KiB	4.08 us	0	0 bytes	0 ps	6	14.78 us
performance_schema	setup_timers	0 ps	0	0 ps	0	0 ps	0	0 ps	0	0 ps	7	770 bytes	3.82 us	0	0 bytes	0 ps	6	14.84 us
performance_schema	events_statements_history	0 ps	0	0 ps	0	0 ps	0	0 ps	0	0 ps	7	4.48 KiB	3.42 us	0	0 bytes	0 ps	6	8.27 us
performance_schema	events_statements_history_long	0 ps	0	0 ps	0	0 ps	0	0 ps	0	0 ps	7	4.48 KiB	3.48 us	0	0 bytes	0 ps	6	8.11 us
performance_schema	events_statements_summary_by_thread_by_event_name	0 ps	0	0 ps	0	0 ps	0	0 ps	0	0 ps	7	2.46 KiB	3.10 us	0	0 bytes	0 ps	6	8.02 us
mysql	event	0 ps	0	0 ps	0	0 ps	0	0 ps	0	0 ps	9	3.87 KiB	4.62 us	0	0 bytes	0 ps	9	33.32 us
performance_schema	session_account_connect_attrs	0 ps	0	0 ps	0	0 ps	0	0 ps	0	0 ps	7	3.73 KiB	3.31 us	0	0 bytes	0 ps	6	6.64 us
performance_schema	session_connect_attrs	0 ps	0	0 ps	0	0 ps	0	0 ps	0	0 ps	7	3.73 KiB	3.15 us	0	0 bytes	0 ps	6	7.58 us
performance_schema	socket_summary_by_event_name	0 ps	0	0 ps	0	0 ps	0	0 ps	0	0 ps	7	2.20 KiB	3.08 us	0	0 bytes	0 ps	6	7.46 us
performance_schema	socket_summary_by_instance	0 ps	0	0 ps	0	0 ps	0	0 ps	0	0 ps	7	2.27 KiB	3.03 us	0	0 bytes	0 ps	6	16.13 us
performance_schema	socket_instances	0 ps	0	0 ps	0	0 ps	0	0 ps	0	0 ps	7	1.32 KiB	3.03 us	0	0 bytes	0 ps	6	8.64 us
performance_schema	hosts	0 ps	0	0 ps	0	0 ps	0	0 ps	0	0 ps	7	800 bytes	3.26 us	0	0 bytes	0 ps	6	10.33 us
performance_schema	accounts	0 ps	0	0 ps	0	0 ps	0	0 ps	0	0 ps	7	879 bytes	2.89 us	0	0 bytes	0 ps	6	7.87 us
performance_schema	users	0 ps	0	0 ps	0	0 ps	0	0 ps	0	0 ps	7	668 bytes	2.92 us	0	0 bytes	0 ps	6	10.87 us
performance_schema	events_statements_summary_by_digest	0 ps	0	0 ps	0	0 ps	0	0 ps	0	0 ps	7	2.50 KiB	3.10 us	0	0 bytes	0 ps	6	7.37 us
performance_schema	events_statements_summary_global_by_event_name	0 ps	0	0 ps	0	0 ps	0	0 ps	0	0 ps	7	2.41 KiB	3.42 us	0	0 bytes	0 ps	6	22.18 us
performance_schema	events_statements_summary_by_host_by_event_name	0 ps	0	0 ps	0	0 ps	0	0 ps	0	0 ps	7	2.62 KiB	3.31 us	0	0 bytes	0 ps	6	7.58 us
performance_schema	events_statements_summary_by_user_by_event_name	0 ps	0	0 ps	0	0 ps	0	0 ps	0	0 ps	7	2.49 KiB	3.32 us	0	0 bytes	0 ps	6	8.22 us
